Work ID,Publishing Name,Singer,Title,Composer,Genre,Label Musik,Share Composer,Share Publishing,ISRC,Release Year,Youtube link (if Any)
JQcom01,JQ Composey,Astero Band,Kepastian Cinta,Jajang Hidayat,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=9MImmRSras4
JQcom02,JQ Composey,Astero Band,Khianati Aku,Jajang Hidayat,POP,BIG Records,50,50,,2020,
JQcom03,JQ Composey,Ayank Wulan,Kisah ku,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom04,JQ Composey,Balvant,Prolog,Aris Munandar & Sendi Sendiyana,ROCK,BIG Records,25,50,,2020,
JQcom05,JQ Composey,Balvant,Drama Pertemuan,Aris Munandar & Sendi Sendiyana,ROCK,BIG Records,25,50,,2020,
JQcom06,JQ Composey,Balvant,Rise and War,Aris Munandar & Sendi Sendiyana,ROCK,BIG Records,25,50,,2020,
JQcom07,JQ Composey,Cici Lulu and Granada’s,Jarak dan Waktu,Cici Supriatin,POP,BIG Records,50,50,,2020,
JQcom08,JQ Composey,DEVANKA,Serpihan Hati,Setia Aji,POP,BIG Records,50,50,,2020,
JQcom09,JQ Composey,DEVANKA,Pengertian Cinta,Setia Aji dan Muldan Wijaya Putra,POP,BIG Records,25,50,,2020,
JQcom10,JQ Composey,Erik Mildan,Selamat Pagi Indonesia,Dias Alfian Nugraha,POP,BIG Records,50,50,,2020,
JQcom11,JQ Composey,HUE,Biar Saja,Yuda Tri Sangra,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=5ONnUWxkfe8
JQcom12,JQ Composey,Iqbal Irvana,Walau Patah Hati,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom13,JQ Composey,Isa Angkama,Ikrar,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom14,JQ Composey,Ngiler,Alien,Muhammad Ramonsyah,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=9tNrpV2vjIU
JQcom15,JQ Composey,Ngiler,My Name Is Ay,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom16,JQ Composey,Ngiler,Putus,Muhammad Ramonsyah,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=aYgFYFrFCxA
JQcom17,JQ Composey,Ngiler,Tegar,Muhammad Ramonsyah,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=aQ_4gd-OyrI
JQcom18,JQ Composey,Ngiler,Tuti – Tuti,Muhammad Ramonsyah,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=q6yH4nf_94U
JQcom19,JQ Composey,Ngiler,You Make Me Love,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom20,JQ Composey,Ramon,Kuyang,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom21,JQ Composey,Ramon,Missing,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom22,JQ Composey,Ramon,Blokir,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom23,JQ Composey,Ramon,Kita Sama,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom24,JQ Composey,Rere Renufa,Sesal,Muhammad Ramonsyah,POP,BIG Records,50,50,,2016,https://www.youtube.com/watch?v=dugRRXN0kwU
JQcom25,JQ Composey,Rere Renufa,Cinta Berakhir,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom26,JQ Composey,Rudjack,Melati,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom27,JQ Composey,Rudjack,Hapuslah Sepiku,Muhammad Ramonsyah,POP,BIG Records,50,50,,2020,
JQcom28,JQ Composey,Rully,Cinta Dalam Hati,Ruliansyah,POP,BIG Records,50,50,,2020,
JQcom29,JQ Composey,Sesana,Tanpa Kehadiran Wanita,Sarif Buldansyah Sukma,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=i3-V61az9Wc
JQcom30,JQ Composey,Sheiza,Tak Kan Pernah,Mursana,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=JXlTUoOVsoQ
JQcom31,JQ Composey,Story Mother Day,Hanya Untukmu,Ronnie Gunawan,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=-9q98xho-j8
JQcom32,JQ Composey,Sunu Prasasti,Janji Hujan,Kiki Bagus Sentyaki,POP,BIG Records,50,50,,2020,
JQcom33,JQ Composey,Sunu Prasasti,Makna Kata Rasa,Sunu Prasasti,POP,BIG Records,50,50,,2020,
JQcom34,JQ Composey,Veda,Mundur Perlahan,Veda Danahiswara,POP,BIG Records,50,50,,2020,
JQcom35,JQ Composey,Violency,Gagal Move ON,Reza Hermawan Putra,POP,BIG Records,50,50,,2018,https://www.youtube.com/watch?v=KYIhaFZFYwU
JQcom36,JQ Composey,Violency,Selamat Bahagia,Reza Hermawan Putra,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=sUird3SkUVU
JQcom37,JQ Composey,Violency,Tak Pernah Kalah,Reza Hermawan Putra,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=_uUYN04tq2Y
JQcom38,JQ Composey,Violency,Puber Kedua,Reza Hermawan Putra,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=8dMTwjXlVa8
JQcom39,JQ Composey,Violency,Harapan,Reza Hermawan Putra,POP,BIG Records,50,50,,2017,https://www.youtube.com/watch?v=hNaDPtbcD7o
JQcom40,JQ Composey,Yudi Tamago,Sungguh,Dias Alfian Nugraha,POP,BIG Records,50,50,,2020,
JQcom41,JQ Composey,Hue,My Sexy Devil,Tri Satya Arief,POP,BIG Records,50,50,,2020,
JQcom42,JQ Composey,Story Mother Day,Tak Berarti,Ronnie Gunawan,POP,BIG Records,50,50,,2020,
JQcom43,JQ Composey,Cowkers,Bosan Sama Kamu,Hendragus Fahrian Dony,POP,BIG Records,50,50,,2020,
JQcom44,JQ Composey,Soundsad,Terpisah,Anggra Permana,POP,BIG Records,50,50,,2020,
JQcom45,JQ Composey,Daniakil,Putus,Daniakil,POP,BIG Records,50,50,,2020,
JQcom46,JQ Composey,Daniakil,Jadi Jadohku,Daniakil,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=_K6f_M9Ff3Y
JQcom47,JQ Composey,Daniakil,Lepas,Daniakil,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=ycte8eqs-u4
JQcom48,JQ Composey,Daniakil,Lupakan Kamu,Daniakil,POP,BIG Records,50,50,,2019,https://www.youtube.com/watch?v=lFILmzHFR-k
JQcom49,JQ Composey,Daniakil,Malaikat Kirim Aku Kekasih,Daniakil,POP,BIG Records,50,50,,2020,
JQcom50,JQ Composey,Nami,Bersamaku,Juniar Nay,POP,BIG Records,50,50,,2012,https://www.youtube.com/watch?v=ux7ozkJl-Co
JQcom51,JQ Composey,Nami,Honey ( Cinta Tak Direstui ),Juniar Nay,POP,BIG Records,50,50,,2020,
JQcom52,JQ Composey,Keinan,Shameless,Andika Keinan,POP,BIG Records,50,50,,2020,
JQcom53,JQ Composey,Foster Pink,Imagine,Bianura,POP,BIG Records,50,50,,2020,
JQcom54,JQ Composey,Dessyl,Mimpi Indahku,Fauzy Gunawirawan,POP,BIG Records,50,50,,2020,
JQcom55,JQ Composey,Putri Anastasya,Selalu Mengalah,Firman Ari Kurniawan,POP,BIG Records,50,50,,2020,
JQcom56,JQ Composey,Toro Bujang,Makan Cinta,Sigit Waluyo,POP,BIG Records,50,50,,2020,
JQcom57,JQ Composey,Uut Selly,Aku Trimo,Anton Sugiharto,DANGDUT,Manis Musik,50,50,,2017,DIGITAL Take Down 2 Weeks ago
JQcom58,JQ Composey,Berlin Glad,Cerita Kau dan Aku,Anton Sugiharto,POP,BIG Records,50,50,,2020,
JQcom59,JQ Composey,Uut Selly ,Udan Kenangan,Anton Sugiharto,DANGDUT,Manis Musik,50,50,,2016,https://www.youtube.com/watch?v=vnkQKD0QVWY
JQcom60,JQ Composey,Wiswa Dewi,Kangen Kamu,Anton Sugiharto,DANGDUT,BIG Records,50,50,,2018,
JQcom61,JQ Composey,Echi Fenia,Dulu Sayang Kini Mantan,Anton Sugiharto,DANGDUT,,50,50,,2108,
JQcom62,JQ Composey,UUT Selly,Biduan,Anton Sugiharto,DANGDUT,,50,50,,2016,
JQcom63,JQ Composey,Echi Fenia,Karangan Bunga Dinggo Mantan,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom64,JQ Composey,Echi Fenia,Tak Iklasno,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom65,JQ Composey,Echi Fenia,Hatiku Menangis Lagi,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom66,JQ Composey,Echi Fenia,Kangen Kamu,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom67,JQ Composey,Fenia,Cerita Indah,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom68,JQ Composey,Fenia,Akhir Cerita di kota jogja,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom69,JQ Composey,Fenia,bukan aku yang terbaik untukmu,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom70,JQ Composey,Fenia,setetes air mata dan seluas senyuman,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom71,JQ Composey,Fenia,separuh jiwa,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom72,JQ Composey,Fenia,cinta terpendam di hati,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom73,JQ Composey,Fenia,ingin selingkuh tapi tak ingin diselingkuhi,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom74,JQ Composey,Fenia,ku rela,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom75,JQ Composey,Fenia,Hatiku Menangis Lagi,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom76,JQ Composey,Fenia,sangsaka,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom77,JQ Composey,ANTZ feat Fenia,kau perkosa atas nama cinta,Anton Sugiharto,DANGDUT,,50,50,,2019,
JQcom78,JQ Composey,Risma Pertiwi,Janda,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom79,JQ Composey,DIAJENG,sing tak tresnani,Anton Sugiharto,DANGDUT,,50,50,,2018,https://www.youtube.com/watch?v=KY8cEFHMNIM
JQcom80,JQ Composey,Java Hiphop,cintamu hanya nafsu,Anton Sugiharto,DANGDUT,,50,50,,2019,
JQcom81,JQ Composey,Meri Valencia,"sayang ""kowe raprasaan""",Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom82,JQ Composey,Anton,roso sik tak tinggal,Anton Sugiharto,DANGDUT,,50,50,,2020,https://www.youtube.com/watch?v=cwZ0fuYfuKY
JQcom83,JQ Composey,Anton,nagih utang,Anton Sugiharto,DANGDUT,,50,50,,2020,
JQcom84,JQ Composey,Nia Sukma,sepi sabendino,Anton Sugiharto,DANGDUT,,50,50,,2020,
JQcom85,JQ Composey,Anton,aku tulang rusuk dudu tulang punggung,Anton Sugiharto,DANGDUT,,50,50,,2020,
JQcom86,JQ Composey,Netra Asamba,Tikungan Sahabat,Anton Sugiharto,DANGDUT,,50,50,,2018,https://www.youtube.com/watch?v=FXQPUU-n74I
JQcom87,JQ Composey,Raskoplo feat Chaca Ayunda,korban biduan,Anton Sugiharto,DANGDUT,,50,50,,2017,https://www.youtube.com/watch?v=7j9-o9Gfc3I
JQcom88,JQ Composey,Raskoplo feat Chaca Ayunda,Ra mangan Cinta,Anton Sugiharto,DANGDUT,,50,50,,2017,https://www.youtube.com/watch?v=dF5NJMOE2Fk
JQcom89,JQ Composey,Fenia,ketika dia datang,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom90,JQ Composey,fenia,"2,5 menit terbunuh bersama kenanganmu",Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom91,JQ Composey,Fenia,tuhan tolong jaga kekasih simpananku,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom92,JQ Composey,Raskoplo feat Delia Chery,Gondes Kecu,Anton Sugiharto,DANGDUT,,50,50,,2016,https://www.youtube.com/watch?v=1-jNHPwz6S8
JQcom93,JQ Composey,Fenia,hati dan sugesti,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom94,JQ Composey,Fenia,Jika masih Ada Kisah untukmu,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom95,JQ Composey,Fenia,Ingatkan Aku di bulan November,Anton Sugiharto,DANGDUT,,50,50,,2020,
JQcom96,JQ Composey,fenia,ketika dia datang,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom97,JQ Composey,Fenia,Penyesalan,Anton Sugiharto,DANGDUT,,50,50,,2018,
JQcom98,JQ Composey,Den DRoom,Akhire Pisah,kus Adi Setiawan (DEN DROOM),POP,,50,50,,2020,
JQcom99,JQ Composey,Den DRoom,Nutupi Loro,iman setia budi (DEN DROOM),POP,,50,50,,2020,
JQcom100,JQ Composey,Fajar Milenia,Teko Ngilang,Sofyan Yulianto,DANGDUT,,50,50,,2020,
JQcom101,JQ Composey,Wuri Milenia,Cinta Tak Selamanya Indah,Sofyan Yulianto,DANGDUT,,50,50,,2020,
JQcom102,JQ Composey,Fajar Milenia,Kuto Wates,Sofyan Yulianto,DANGDUT,,50,50,,2020,
JQcom103,JQ Composey,Onyeal,Murka,angga permana,POP,BIG Records,50,50,,2020,
JQcom104,JQ Composey,Bagus hartawan,kenangan,angga permana,POP,BIG Records,50,50,,2020,
JQcom105,JQ Composey,Donlyca,Indonesia Untuk Semua,Hendragus Fahrian Dony,POP,BIG Records,50,50,,2020,
JQcom106,JQ Composey,Kirana,Percuma Setia,Firman Ari Kurniawan,POP,BIG Records,50,50,,2020,
JQcom107,JQ Composey,Ratih,Raiso Gantung,Firman Ari Kurniawan,DANGDUT,BIG Records,50,50,,2020,
JQcom108,JQ Composey,Wename,Jalan Terbaik,Feddy ariesta ramadhany,POP,BIG Records,50,50,,2012,https://www.youtube.com/watch?v=xiHCME_KVV0
JQcom109,JQ Composey,Wename,Takkan Tergantikan,Feddy ariesta ramadhany,POP,BIG Records,50,50,,2016,https://www.youtube.com/watch?v=OPZo-FmXumg
JQcom110,JQ Composey,Rajam,Hura Hura Keheningan,Agung Gunawan,ROCK,BIG Records,50,50,,2020,
JQcom111,JQ Composey,Fery Gaoz,Aku Benci Pikiranku,Fery Al Gifari Gaos,POP,BIG Records,50,50,,2020,
JQcom112,JQ Composey,Keylin Hans Humara,Bintang Kecil,Pahmi Lubis,POP,BIG Records,50,50,,2020,
JQcom113,JQ Composey,Yoga Korrok,Cinta Semu,Made angga permana,POP,BIG Records,50,50,,2020,
JQcom114,JQ Composey,Ayu Zooma,Menari Dalam Derita,Made angga permana,POP,BIG Records,50,50,,2020,
JQcom115,JQ Composey,Vici,Kedua dan Terakhir,Dian Haryana,POP,BIG Records,50,50,,2020,
JQcom116,JQ Composey,Duarr,Lari Dari Kenyataan,Oktavian Hanafi,POP,BIG Records,50,50,,2020,
JQcom117,JQ Composey,Okta,Mimpi Yang Hanya Mimpi,Oktavian Hanafi,POP,BIG Records,50,50,,2020,
JQcom118,JQ Composey,Vebby Kusmawardhani,Sudut Hati,Vebby Kusmawardhani,POP,BIG Records,50,50,,2020,
JQcom119,JQ Composey,Nataku,Tak Harus Memiliki,Andika Satria Nugraha,POP,BIG Records,50,50,,2020,
JQcom120,JQ Composey,Ali Abdillah,Kangen,Tubagus Abdillah,POP,BIG Records,50,50,,2020,
JQcom121,JQ Composey,X-ANO,Long Trip,Yuyu Yuhana ST,POP,BIG Records,50,50,,2020,
JQcom122,JQ Composey,Andri Erlangit,Tinggalkan Saja,Andri Rohdiana,POP,BIG Records,50,50,,2020,
JQcom123,JQ Composey,Andri Erlangit,Bersama Selamanya,Andri Rohdiana,POP,BIG Records,50,50,,2020,
JQcom124,JQ Composey,Fardo Feat. Sella Fernanda,Hapus,Fardo Sidabutar,POP,BIG Records,50,50,,2020,
JQcom125,JQ Composey,Rhaisa Katresna,Mengingatmu ( Remember You ),Fardo Sidabutar,POP,BIG Records,50,50,,2020,
JQcom126,JQ Composey,VICI,10 Mei,Dian Haryana,POP,ONLY PUBLISHING,50,50,,2020,
JQcom127,JQ Composey,VICI,Semangat Untuk Kawan,Dian Haryana,POP,ONLY PUBLISHING,50,50,,2020,
JQcom128,JQ Composey,VICI,Sonia,Dian Haryana,POP,ONLY PUBLISHING,50,50,,2020,
JQcom129,JQ Composey,VICI,Munafik,Dian Haryana,POP,ONLY PUBLISHING,50,50,,2020,
JQcom130,JQ Composey,VICI,Jayalah Indonesia ku,Dian Haryana,POP,ONLY PUBLISHING,50,50,,2020,
JQcom131,JQ Composey,Fantasia,Temukan Langkahku,Oktavian Hanafi,POP,ONLY PUBLISHING,50,50,,2020,
JQcom132,JQ Composey,Fantasia,Dan Sampaikan,Oktavian Hanafi,POP,ONLY PUBLISHING,50,50,,2020,
JQcom133,JQ Composey,Fantasia,Queen of Heart,Oktavian Hanafi,POP,ONLY PUBLISHING,50,50,,2020,
JQcom134,JQ Composey,Fantasia,Nafas Hidupku,Oktavian Hanafi,POP,ONLY PUBLISHING,50,50,,2020,
JQcom135,JQ Composey,Fajar Rain Feat. Dira,Kala Malam Tiba,Fajar Kuspermana,POP,BIG Records,50,50,,2020,
JQcom136,JQ Composey,Ayrinna S.P,Anak Indonesia,Pahmi Lubis,POP,BIG Records,50,50,,2020,
JQcom137,JQ Composey,Foster Pink,Can I,Bianura,POP,BIG Records,50,50,,2020,
JQcom138,JQ Composey,Suho Maherded,Bersyukur,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom139,JQ Composey,Suho Maherded,Pasrah,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom140,JQ Composey,Suho Maherded,Tiket Surga,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom141,JQ Composey,Suho Maherded,25 Nabi,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom142,JQ Composey,Suho Maherded,Musibah,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom143,JQ Composey,Suho Maherded,Sedekah,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom144,JQ Composey,Suho Maherded,Untuk Allah,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom145,JQ Composey,Suho Maherded,Doa Untuk Ibu,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom146,JQ Composey,Suho Maherded,Orang Kaya Berkuasa,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom147,JQ Composey,Suho Maherded,Sempurna Kuasamu,Dedy Yusuf,POP,BIG Records,50,50,,,
JQcom148,JQ Composey,Andi Permadi,Aku Bisa Apa,Sunu Prasasti AJi,POP,BIG Records,50,50,,2015,
JQcom149,JQ Composey,Muhammad Bashor,Teruntuk Calon Mertua,Muhammad Bashor,POP,BIG Records,50,50,,2020,
JQcom150,JQ Composey,Muhammad Bashor,Saling,Muhammad Bashor,POP,BIG Records,50,50,,2020,
JQcom151,JQ Composey,Muhammad Bashor,Menata Hati,Muhammad Bashor,POP,BIG Records,50,50,,2020,
JQcom152,JQ Composey,Muhammad Bashor,Tamat,Muhammad Bashor,POP,BIG Records,50,50,,2020,
JQcom153,JQ Composey,Muhammad Bashor,Bolehkah Ku Bertanya,Muhammad Bashor,POP,BIG Records,50,50,,2020,
JQcom154,JQ Composey,HUE,CIRCLES,"Tri Satya Arief, Denis Bagus Wicaksono, Sabrina Dwi Ananda, Zakarias Topuh",Rock,BIG Records,12.5,50,,2020,
JQcom155,JQ Composey,Apit Riyadi,Pengagum Dirimu,Apit Riyadi,POP,BIG Records,50,50,,2020,
JQcom156,JQ Composey,Cici Lulu Feat Amad,Mama,Cici Supriatin,POP,BIG Records,50,50,,2020,
JQcom157,JQ Composey,Daniakil,Putus ( Acoustic Version ),Daniakil,POP,BIG Records,50,50,,2020,
JQcom158,JQ Composey,Kamar Jiwa,Kita,"Fauzan Hermawan , Moh FItrah Umami",POP,BIG Records,25,50,,2020,https://youtu.be/ixdkyZCmGyQ?si=-42efflmtslwtfAW
JQcom159,JQ Composey,Kamar Jiwa,Di Kota Ini,"Fauzan Hermawan , Moh FItrah Umami",POP,BIG Records,25,50,,2020,https://youtu.be/s-MkMKkNkdM?si=otOOJn56ck4BzWEN
